uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
synth::hhs::iveri-fi (test),HHS,HHS/CMS/CCIIO,iVeri-Fi (Test),Pre-deployment,high-impact,"A decision service (Sapiens) will make the adjudication decision using Remote Identity Proofing (RIDP) business rules. This service integrates with Event-Based Processing (EBP) microservices, Sapiens Decision, and Rosette Name Indexer (RNI) for matching identity data. Sapiens Decision uses AI to ensure consumer and RIDP data match and will incorporate more machine learning in the future.",IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::plan justification tool,HHS,HHS/CMS/CCIIO,Plan Justification Tool,Pre-deployment,not-high-impact,Build a supervised ML model using historical justification data and associated plan certification outcomes that can be recommended to CMS to build towards a more efficient review process.,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::tic url automation,HHS,HHS/CMS/CCIIO,TIC URL Automation,Pre-deployment,not-high-impact,"AI can expedite the process by enabling AI algorithms to rapidly scan URL content, to identify if the required language is present and compliant, reducing the review time compared to manual reading. Additionally, AI can manage and review large volumes of URL content, further accelerating the review process.",IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::rx data integrity review,HHS,HHS/CMS/CCIIO,Rx Data Integrity Review,Pre-deployment,not-high-impact,A Python-based automation pipeline will download PDFs and extract required Rx information in appropriate format for review,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::ra and radv predictive modeling and methodology evaluation,HHS,HHS/CMS/CCIIO,RA and RADV Predictive Modeling and Methodology Evaluation,Pre-deployment,not-high-impact,"Predictive modeling and simulations of policy changes are used to determine likelihood of various outcomes across markets, by individual issuer, etc. Model validation and methodology evaluation determine effectiveness, fairness, and impacts of the programs.",IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::radv medical record review,HHS,HHS/CMS/CCIIO,RADV Medical Record Review,Pre-deployment,not-high-impact,Improve efficiency of medical record review by flagging diagnoses for KPMG coders to review.,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::issuer expansion/market entry prediction,HHS,HHS/CMS/CCIIO,Issuer Expansion/Market Entry Prediction,Pre-deployment,not-high-impact,Predictive models using AI/ML and over 300 signals derived from data determine the likelihood of expansion or new entry into the markets in the future by issuer or parent-company,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::sbc content review,HHS,HHS/CMS/CCIIO,SBC Content Review,Pre-deployment,not-high-impact,Improve efficiency of SBC Form review.,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::mft ui chatbot,HHS,HHS/CMS/CCIIO,MFT UI Chatbot,Pilot,not-high-impact,Implement a chatbot to provide real-time file status updates for external users and tools for internal teams to generate reports and visualize key metrics.,IT,NLP,,In-house Development,No,Aug-25,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::mlms upgrade mila from carla to druid,HHS,HHS/CMS/CCIIO,MLMS Upgrade MILA from CARLA to Druid,Pre-deployment,not-high-impact,- Empower MLMS operations team with full control over chatbot management - Maintain or improve current deflection rate from MILA 1.0 - Reduce help desk costs through a more efficient support solution - Tailor chatbot content to specific MLMS support requirements - Deliver personalized user interactions to enhance experience - Ensure smooth escalation to Tier 1 support when needed,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::interoperability url review automation,HHS,HHS/CMS/CCIIO,Interoperability URL Review Automation,Pre-deployment,not-high-impact,"Improve timeliness, Minimize review inconsistencies, Improve quality",IT,Classical ML,,,No,,,[],,,,,,,,,,[]
synth::hhs::feedback analysis solution (fas),HHS,HHS/CMS/CCSQ,Feedback Analysis Solution (FAS),Deployed,not-high-impact,"Speeds up the manual and time-consuming process of analyzing public comments on frequently posted regulations.gov and FDMS dockets by employing advanced natural language processing and machine learning technologies. FAS help categorize stakeholder comments or feedback (collected in multiple venues), thereby enabling analysts to use the system to quickly identify comments that may impact program/policy decisions.",IT,NLP,,In-house Development,No,Sep-21,No,['k) None of the above'],,,,,,,,,,[]
synth::hhs::ccsq servicenow ai search,HHS,HHS/CMS/CCSQ,CCSQ ServiceNow AI Search,Deployed,not-high-impact,"CCSQ ServiceNow AI Search is a product inside ServiceNow (SaaS). It replaces traditional Zing search tool (exact search), and enables users with more flexible searches to get relevant and actionable answers quickly. * Improve search relevance * Promote self-service by empowering users to find information independently, and potential reduce number of cases",IT,NLP,,Vendor Purchased,No,Apr-24,Yes,['k) None of the above'],,,,,,,,,,[]
synth::hhs::resource library assistant,HHS,HHS/CMS/CCSQ,Resource Library Assistant,Pre-deployment,not-high-impact,Improving access to program information and reducing service desk burden and improving user experience for searches.,Service Delivery,Generative AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::qpp admin bot,HHS,HHS/CMS/CCSQ,QPP Admin Bot,Pre-deployment,not-high-impact,"In general we expect to see a decrease to lines of code, increase efficiency of code, increase developer output and reduced story points for work which in turn produces cost savings.",Admin Functions,Generative AI,,,No,,,[],,,,,,,,,,[]
synth::hhs::ccsq now assist for csm,HHS,HHS/CMS/CCSQ,CCSQ Now Assist for CSM,Deployed,not-high-impact,"CCSQ Now Assist for CSM (Customer Service Management) is a product inside ServiceNow (SaaS). It integrates Gen AI with CSM, and uses Now LLM (ServiceNow native Large Language Model) to generate contents based on machine learning (ML). Now Assist for CSM helps agents to improve productivity and efficiency and deliver better services. Improve agents' responsiveness and productivity * Quickly get familiar with a case/chat by getting case/chat summarization * Quickly resolve the case by using auto-generated resolution notes.",IT,Generative AI,,Vendor Purchased,No,Dec-24,Yes,['k) None of the above'],,,,,,,,,,[]
synth::hhs::citation analysis and survey assistant (casa - nursing home survey cms 2567),HHS,HHS/CMS/CCSQ,Citation Analysis and Survey Assistant (CASA - Nursing Home Survey CMS 2567),Deployed,not-high-impact,"Speeds up the manual and time-consuming process of survey review and citing nursing home deficiencies, reported on CMS Form 2567, by employing advanced natural language processing and machine learning technologies.",Health and Medical,NLP,,In-house Development,No,Nov-24,No,['k) None of the above'],,,,,,,,,,[]
